via,placa,numero_placa,latitud,longitud
CL 45 SUR,76-28 LOTE,,6.18192831,-75.65476629
CL 32EE,80B-16,,6.23773744,-75.60179698
CR 28E,108DB-87,,6.30038536,-75.54027031
CR 80B,32EE-85,,6.23853284,-75.60167483
CR 80B,32EE-95,,6.23861937,-75.60167768
CR 28F,111-148 (0158),,6.30079771,-75.5405841
CR 29,107A-62 (0219),,6.29563398,-75.54009123
CL 80B,72C-67,,6.28131719,-75.57925978
CL 80B,72C-69,,6.28132111,-75.57927784
CL 107C,36A-26 (0107),,6.29515211,-75.54508929
CL 80A,72C-20,,6.28101179,-75.57902443
CL 80A,72C-24,,6.28101606,-75.57904407
CL 99B,31B-25 (2101),,6.28865485,-75.54358598
CR 32,97-112 (0127),,6.28844812,-75.54371186
CR 32,97-112 (0120) LOTE,,6.28837572,-75.54360516
CL 51A,53 ESTE-98,,6.23581947,-75.4765118
CL 51A,53 ESTE-58,,6.23573885,-75.47682484
CR 54A ESTE,51A-177 (0107),,6.2373583,-75.47514832
CL 51A,53 ESTE-116,,6.23588762,-75.4763209
CR 54A ESTE,51A-105,,6.23668522,-75.47658455
CL 118,46-49 (0101),,6.30268126,-75.54920709
CL 99B,31B-25 (0103),,6.28868879,-75.54357314
CL 97,34B-78,,6.28760225,-75.54557345
CR 39,86A-45 (0118),,6.27943783,-75.54808192
CL 68B,28-58,,6.26297099,-75.54317207
CR 31C,93B-122 (0106) LOTE,,6.28561381,-75.54354336
CR 30,89-52 (0227),,6.2801215,-75.54289345
CR 31,93-183,,6.28598419,-75.54237635
CR 43,88A-22,,6.28123761,-75.55048474
CL 84,36C-12 (1106),,6.27514505,-75.54677028
